,album_name,release_date,video_id,feature_image,track_title,track_n
0,Taylor Swift,2006-10-24,GkD20ajVxnY,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Tim McGraw,1
1,Taylor Swift,2006-10-24,yCMqcFAigRg,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Picture To Burn,2
2,Taylor Swift,2006-10-24,xKCek6_dB0M,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Teardrops On My Guitar,3
3,Taylor Swift,2006-10-24,KBlhcmYBXLM,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,A Place In This World,4
4,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Cold As You,5
5,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,The Outside,6
6,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Tied Together With A Smile,7
7,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Stay Beautiful,8
8,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Should've Said No,9
9,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Mary’s Song (Oh My My My),10
10,Taylor Swift,2006-10-24,Jb2stN7kH28,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Our Song,11
11,Taylor Swift,2006-10-24,AlTfYj7q5gQ,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,I’m Only Me When I’m with You,12
12,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Invisible,13
13,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,A Perfectly Good Heart,14
14,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Teardrops on My Guitar (Pop Version),15
15,Fearless (Taylor’s Version),2008-11-11,ptSjNWnzpjg,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Fearless (Taylor’s Version),1
16,Fearless (Taylor’s Version),2008-11-11,Pb-K2tXWK4w,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Fifteen (Taylor’s Version),2
17,Fearless (Taylor’s Version),2008-11-11,8xg3vE8Ie_E,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Love Story (Taylor’s Version),3
18,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Hey Stephen (Taylor’s Version),4
19,Fearless (Taylor’s Version),2008-11-11,D1Xr-JFLxik,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,White Horse (Taylor’s Version),5
20,Fearless (Taylor’s Version),2008-11-11,VuNIsY6JdUw,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,You Belong With Me (Taylor’s Version),6
21,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Breathe (Taylor’s Version),7
22,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Tell Me Why (Taylor’s Version),8
23,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,You’re Not Sorry (Taylor’s Version),9
24,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,The Way I Loved You (Taylor’s Version),10
25,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Forever & Always (Taylor’s Version),11
26,Fearless (Taylor’s Version),2008-11-11,l4_6eQm7RTQ,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,The Best Day (Taylor’s Version),12
27,Fearless (Taylor’s Version),2008-11-11,B1jYllE0T-k,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Change (Taylor’s Version),13
28,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Jump Then Fall (Taylor’s Version),14
29,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Untouchable (Taylor’s Version),15
30,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Forever & Always (Piano Version) [Taylor’s Version],16
31,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Come In With the Rain (Taylor’s Version),17
32,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Superstar (Taylor’s Version),18
33,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,The Other Side of the Door (Taylor’s Version),19
34,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Today Was a Fairytale (Taylor’s Version),20
35,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,You All Over Me (Taylor’s Version) [From the Vault],21
36,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Mr. Perfectly Fine (Taylor’s Version) [From the Vault],22
37,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,We Were Happy (Taylor’s Version) [From the Vault],23
38,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,That’s When (Taylor’s Version) [From the Vault],24
39,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Don’t You (Taylor’s Version) [From the Vault],25
40,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Bye Bye Baby (Taylor’s Version) [From the Vault],26
41,Speak Now (Deluxe),2010-10-25,XPBwXKgDTdE,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Mine,1
42,Speak Now (Deluxe),2010-10-25,oKar-tF__ac,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Sparks Fly,2
43,Speak Now (Deluxe),2010-10-25,QUwxKWT6m7U,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Back to December,3
44,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Speak Now,4
45,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Dear John,5
46,Speak Now (Deluxe),2010-10-25,jYa1eI1hpDE,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Mean,6
47,Speak Now (Deluxe),2010-10-25,nN6VR92V70M,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,The Story of Us,7
48,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Never Grow Up,8
49,Speak Now (Deluxe),2010-10-25,m8hP9m-jDn8,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Enchanted,9
50,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Better Than Revenge,10
51,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Innocent,11
52,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Haunted,12
53,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Last Kiss,13
54,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Long Live,14
55,Speak Now (Deluxe),2010-10-25,LZ34LlaIk88,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Ours,15
56,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,If This Was a Movie,16
57,Speak Now (Deluxe),2010-10-25,,https://upload.wikimedia.org/wikipedia/en/8/8f/Taylor_Swift_-_Speak_Now_cover.png,Superman,17
58,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,State of Grace,1
59,Red (Taylor’s Version),2012-10-22,Zlot0i3Zykw,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Red,2
60,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Treacherous,3
61,Red (Taylor’s Version),2012-10-22,vNoKguSdy4Y,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,I Knew You Were Trouble,4
62,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,All Too Well,5
63,Red (Taylor’s Version),2012-10-22,AgFeZr5ptV8,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,22,6
64,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,I Almost Do,7
65,Red (Taylor’s Version),2012-10-22,WA4iX5D9Z64,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,We Are Never Ever Getting Back Together,8
66,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Stay Stay Stay,9
67,Red (Taylor’s Version),2012-10-22,QuijXg8wm28,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,The Last Time,10
68,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Holy Ground,11
69,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Sad Beautiful Tragic,12
70,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,The Lucky One,13
71,Red (Taylor’s Version),2012-10-22,w1oM3kQpXRo,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Everything Has Changed,14
72,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Starlight,15
73,Red (Taylor’s Version),2012-10-22,cMPEd8m79Hw,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Begin Again,16
74,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,The Moment I Knew,17
75,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Come Back... Be Here,18
76,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Girl at Home,19
77,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Treacherous (Original Demo Recording),20
78,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,Red (Original Demo Recording),21
79,Red (Taylor’s Version),2012-10-22,,https://upload.wikimedia.org/wikipedia/en/e/e8/Taylor_Swift_-_Red.png,State of Grace (Acoustic Version),22
80,1989 (Deluxe),2014-10-27,,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,Welcome to New York,1
81,1989 (Deluxe),2014-10-27,e-ORhEE9VVg,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,Blank Space,2
82,1989 (Deluxe),2014-10-27,-CmadmM5cOk,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,Style,3
83,1989 (Deluxe),2014-10-27,JLf9q36UsBk,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,Out of the Woods,4
84,1989 (Deluxe),2014-10-27,,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,All You Had to Do Was Stay,5
85,1989 (Deluxe),2014-10-27,nfWlot6h_JM,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,Shake It Off,6
86,1989 (Deluxe),2014-10-27,,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,I Wish You Would,7
87,1989 (Deluxe),2014-10-27,QcIy9NiNbmo,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,Bad Blood,8
88,1989 (Deluxe),2014-10-27,IdneKLhsWOQ,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,Wildest Dreams,9
89,1989 (Deluxe),2014-10-27,,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,How You Get the Girl,10
90,1989 (Deluxe),2014-10-27,,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,This Love,11
91,1989 (Deluxe),2014-10-27,,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,I Know Places,12
92,1989 (Deluxe),2014-10-27,,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,Clean,13
93,1989 (Deluxe),2014-10-27,,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,Wonderland,14
94,1989 (Deluxe),2014-10-27,,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,You Are in Love,15
95,1989 (Deluxe),2014-10-27,wyK7YuwUWsU,https://upload.wikimedia.org/wikipedia/en/f/f6/Taylor_Swift_-_1989.png,New Romantics,16
96,reputation,2017-11-10,wIft-t-MQuE,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,...Ready for It?,1
97,reputation,2017-11-10,dfnCAmr569k,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,End Game,2
98,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,I Did Something Bad,3
99,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,Don’t Blame Me,4
100,reputation,2017-11-10,tCXGJQYZ9JA,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,Delicate,5
101,reputation,2017-11-10,3tmd-ClpJxA,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,Look What You Made Me Do,6
102,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,So It Goes...,7
103,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,Gorgeous,8
104,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,Getaway Car,9
105,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,King of My Heart,10
106,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,Dancing with Our Hands Tied,11
107,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,Dress,12
108,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,This Is Why We Can’t Have Nice Things,13
109,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,Call It What You Want,14
110,reputation,2017-11-10,,https://upload.wikimedia.org/wikipedia/en/f/f2/Taylor_Swift_-_Reputation.png,New Year’s Day,15
111,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,I Forgot That You Existed,1
112,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,Cruel Summer,2
113,Lover,2019-08-23,-BjZmE2gtdo,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,Lover,3
114,Lover,2019-08-23,AqAJLh9wuZ0,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,The Man,4
115,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,The Archer,5
116,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,I Think He Knows,6
117,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,Miss Americana & The Heartbreak Prince,7
118,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,Paper Rings,8
119,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,Cornelia Street,9
120,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,Death by a Thousand Cuts,10
121,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,London Boy,11
122,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,Soon You’ll Get Better,12
123,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,False God,13
124,Lover,2019-08-23,Dkk9gvTmCXY,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,You Need To Calm Down,14
125,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,Afterglow,15
126,Lover,2019-08-23,FuXNumBwDOM,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,ME!,16
127,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,It’s Nice to Have a Friend,17
128,Lover,2019-08-23,,https://upload.wikimedia.org/wikipedia/en/c/cd/Taylor_Swift_-_Lover.png,Daylight,18
129,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,the 1,1
130,folklore (deluxe version),2020-07-24,K-a8s8OLBSE,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,cardigan,2
131,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​the last great american dynasty,3
132,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​exile,4
133,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,my tears ricochet,5
134,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​mirrorball,6
135,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,seven,7
136,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,august,8
137,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,this is me trying,9
138,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​illicit affairs,10
139,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​invisible string,11
140,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​mad woman,12
141,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​epiphany,13
142,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​betty,14
143,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​peace,15
144,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,hoax,16
145,folklore (deluxe version),2020-07-24,,https://upload.wikimedia.org/wikipedia/en/f/f8/Taylor_Swift_-_Folklore.png,​the lakes,17
146,evermore (deluxe version),2020-12-11,RsEZmictANA,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,willow,1
147,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,champagne problems,2
148,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​gold rush,3
149,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​’tis the damn season,4
150,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​tolerate it,5
151,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,"​no body, no crime",6
152,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​happiness,7
153,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​dorothea,8
154,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​coney island,9
155,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​ivy,10
156,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,cowboy like me,11
157,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​l​ong story short,12
158,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​marjorie,13
159,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​closure,14
160,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​evermore,15
161,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​r​ight where you left me,16
162,evermore (deluxe version),2020-12-11,,https://upload.wikimedia.org/wikipedia/en/0/0a/Taylor_Swift_-_Evermore.png,​it’s time to go,17